Id,Name
44065,矿山电气工程
44070,采矿环境工程
44075,矿山安全
44080,矿山综合利用工程
44099,矿山工程技术其他学科
450,冶金工程技术
45010,冶金物理化学
45015,冶金反应工程
45020,冶金原料与预处理
45025,冶金热能工程
45030,冶金技术
45035,钢铁冶金
45040,有色金属冶金
45045,轧制
45050,冶金机械及自动化
45099,冶金工程技术其他学科
460,机械工程
46010,机械史
46015,机械学
46020,机械设计
46025,机械制造工艺与设备
46030,刀具技术
46035,机床技术
46045,流体传动与控制
46050,机械制造自动化
46099,机械工程其他学科
470,动力与电气工程
47010,工程热物理
47020,热工学
47030,动力机械工程
47035,制冷与低温工程
47040,电气工程
47099,动力与电气工程其他学科
480,能源科学技术
48010,能源化学
48020,能源地理学
48030,能源计算与测量
48040,储能技术
48050,节能技术
48060,一次能源
48070,二次能源
48080,能源系统工程
,能源经济学
48099,能源科学技术其他学科
490,核科学技术
49010,辐射物理与技术
49015,核探测技术与核电子学
49020,放射性计量学
49025,核仪器、仪表
49030,核材料与工艺技术
49035,粒子加速器
49040,裂变堆工程技术
49045,核聚变工程技术
49050,核动力工程技术
49055,同位素技术
49060,核爆炸工程
49065,核安全
49070,乏燃料后处理技术
49075,辐射防护技术
49080,核设施退役技术
49085,放射性三废处理、处置技术
49099,核科学技术其他学科
510,电子与通信技术
51010,电子技术
51020,光电子学与激光技术
51030,半导体技术
51040,信息处理技术
51050,通信技术
51060,广播与电视工程技术
51070,雷达工程
51099,电子与通信技术其他学科
520,计算机科学技术
52010,计算机科学技术基础学科
52020,人工智能
52030,计算机系统结构
52040,计算机软件
52050,计算机工程
52060,计算机应用
52099,计算机科学技术其他学科
530,化学工程
53011,化学工程基础学科
53014,化工测量技术与仪器仪表
53017,化工传递过程
53021,化学分离工程
53024,化学反应工程
53027,化工系统工程
53031,化工机械与设备
53034,无机化学工程
53037,有机化学工程
53041,电化学工程
53044,高聚物工程
53047,煤化学工程
53051,石油化学工程
53052,天然气化学工程
53054,精细化学工程
53057,造纸技术
53061,毛皮与制革工程
53064,制药工程
53067,生物化学工程
53099,化学工程其他学科
535,产品应用相关工程与技术
53510,仪器仪表技术
53520,兵器科学与技术
53530,产品应用专用性技术
53599,产品应用相关工程与技术其他学科
540,纺织科学技术
54010,纺织科学技术基础学科
54020,纺织材料
54030,纤维制造技术
54040,纺织技术
54050,染整技术
54060,服装技术
54070,纺织机械与设备
54099,纺织科学技术其他学科
550,食品科学技术
55010,食品科学技术基础学科
55020,食品加工技术
55030,食品包装与储藏
55040,食品机械
55050,食品加工的副产品加工与利用
55060,食品工业企业管理学
55070,食品工程与粮油工程
55099,食品科学技术其他学科
560,土木建筑工程
56010,建筑史
56015,土木建筑工程基础学科
56020,土木建筑工程测量
56025,建筑材料
56030,工程结构
56035,土木建筑结构
56040,土木建筑工程设计
56045,土木建筑工程施工
56050,土木工程机械与设备
,园林学
56055,市政工程
56060,建筑经济学
56099,土木建筑工程其他学科
570,水利工程
57010,水利工程基础学科
57015,水利工程测量
57020,水工材料
57025,水工结构
57030,水力机械
57035,水利工程施工
57040,水处理
57045,河流泥沙工程学
,农田水利
,水土保持学
57055,环境水利
57060,水利管理
57065,防洪工程
57070,水利经济学
57099,水利工程其他学科
580,交通运输工程
58010,道路工程
58020,公路运输
58030,铁路运输
58040,水路运输
58050,船舶、舰船工程
58060,航空运输
58070,交通运输系统工程
58080,交通运输安全工程
,交通运输经济学
58099,交通运输工程其他学科
590,航空、航天科学技术
59010,航空、航天科学技术基础学科
59015,航空器结构与设计
59020,航天器结构与设计
59025,航空、航天推进系统
59030,飞行器仪表、设备
59035,飞行器控制、导航技术
59040,航空、航天材料
59045,飞行器制造技术
59050,飞行器试验技术
59055,飞行器发射与回收、飞行技术
59060,航空航天地面设施、技术保障
59065,航空、航天系统工程
59099,航空、航天科学技术其他学科
610,环境科学技术及资源科学技术
61010,环境科学技术基础学科
61020,环境学
61030,环境工程学
61050,资源科学技术
61099,环境科学技术及资源科学技术其他学科
620,安全科学技术
62010,安全科学技术基础学科
62021,安全社会科学
62023,安全物质学
62025,安全人体学
62027,安全系统学
62030,安全工程技术科学
62040,安全卫生工程技术
62060,安全社会工程
62070,部门安全工程理论
62080,公共安全
62099,安全科学技术其他学科
630,管理学
63010,管理思想史
63015,管理理论
,管理心理学
63025,管理计量学
,管理经济学
63030,部门经济管理
63032,区域经济管理
63035,科学学与科技管理
63040,企业管理
63044,公共管理
63050,管理工程
63055,人力资源开发与管理
63060,未来学
,可持续发展管理
63099,管理学其他学科
710,马克思主义
71010,马、恩、列、斯思想研究
71020,毛泽东思想研究
71030,马克思主义思想史
71040,科学社会主义
71050,社会主义运动史
71060,国外马克思主义研究
71099,马克思主义其他学科
720,哲学
72010,马克思主义哲学
72015,自然辩证法
72020,中国哲学史
72025,东方哲学史
72030,西方哲学史
72035,现代外国哲学
72040,逻辑学
72045,伦理学
72050,美学
72099,哲学其他学科
730,宗教学
73011,宗教学理论
73014,无神论
73017,原始宗教
73021,古代宗教
73024,佛教
73027,基督教
73031,伊斯兰教
73034,道教
73037,印度教
73041,犹太教
73044,袄教
73047,摩尼教
73051,锡克教
73054,耆那教
73057,神道教
73061,中国民间宗教与民间信仰
73064,中国少数民族宗教
73067,当代宗教
73099,宗教学其他学科
740,语言学
74010,普通语言学
74015,比较语言学
74020,语言地理学
74025,社会语言学
74030,心理语言学
74035,应用语言学
74040,汉语研究
74045,中国少数民族语言文字
74050,外国语言
74099,语言学其他学科
750,文学
75011,文学理论
75014,文艺美学
75017,文学批评
75021,比较文学
75024,中国古代文学
75027,中国近代文学
75031,中国现代文学
75034,中国各体文学
75037,中国民间文学
75041,中国儿童文学
75044,中国少数民族文学
75047,世界文学史
75051,东方文学
75054,俄国文学
75057,英国文学
75061,法国文学
75064,德国文学
75067,意大利文学
75071,美国文学
75074,北欧文学
75077,东欧文学
75081,拉美文学
75084,非洲文学
75087,大洋洲文学
75099,文学其他学科
760,艺术学
,艺术美学
76010,艺术心理学
76015,音乐
76020,戏剧
76025,戏曲
76030,舞蹈
76035,电影
76040,广播电视文艺
76045,美术
76050,工艺美术
76055,书法
76060,摄影
76099,艺术学其他学科
770,历史学
77010,史学史
77015,史学理论
77020,历史文献学
77025,中国通史
77030,中国古代史
77035,中国近代史、现代史
77040,世界通史
77045,亚洲史
77050,非洲史
77055,美洲史
77060,欧洲史
77065,澳洲、大洋洲史
77070,专门史
77099,历史学其他学科
780,考古学
78010,考古理论
78020,考古学史
78030,考古技术
78040,中国考古
78050,外国考古
78060,专门考古
78099,考古学其他学科
790,经济学
79011,政治经济学
79013,宏观经济学
79015,微观经济学
79017,比较经济学
79019,经济地理学
79021,发展经济学
79023,生产力经济学
79025,经济思想史
79027,经济史
79029,世界经济学
79031,国民经济学
79033,管理经济学
79035,数量经济学
79037,会计学
79039,审计学
79041,技术经济学
79043,生态经济学
79045,劳动经济学
79047,城市经济学
79049,资源经济学
79051,环境经济学
79052,可持续发展经济学
79053,物流经济学
79055,工业经济学
79057,农村经济学
79059,农业经济学
79061,交通运输经济学
,建筑经济学
79063,商业经济学
79065,价格学
79067,旅游经济学
79069,信息经济学
79071,财政学
79073,金融学
79075,保险学
79077,国防经济学
79099,经济学其他学科
810,政治学
81010,政治学理论
81020,政治制度
81030,行政学
81040,国际政治学
81099,政治学其他学科
820,法学
82010,理论法学
82020,法律史学
82030,部门法学
82040,国际法学
82099,法学其他学科
830,军事学
83010,军事理论
83015,军事史
83020,军事心理学
83025,战略学
83030,战役学
83035,战术学
83040,军队指挥学
83045,军制学
83050,军队政治工作学
83055,军事后勤学
83060,军事地学
83065,军事技术
83099,军事学其他学科
840,社会学
84011,社会学史
84014,社会学理论
84017,社会学方法
84021,实验社会学
84024,数理社会学
84027,应用社会学
84031,比较社会学
84034,社会地理学
,政治社会学
84037,文化社会学
84041,历史社会学
,科学社会学
84044,经济社会学
84047,军事社会学
,社会心理学
84054,公共关系学
84057,社会人类学
84061,组织社会学
84064,发展社会学
84067,福利社会学
84071,人口学
84074,劳动科学
84099,社会学其他学科
850,民族学与文化学
85010,民族问题理论
85020,民族史学
,中国少数民族语言文字
85030,蒙古学
85040,藏学
85042,新疆民族研究
85050,文化人类学与民俗学
85060,世界民族研究
85070,文化学
85099,民族和文化学其他学科
860,新闻学与传播学
86010,新闻理论
86020,新闻史
86030,新闻业务
86040,新闻事业经营管理
86050,广播与电视
86060,传播学
86099,新闻学与传播学其他学科
870,图书馆、情报与文献学
87010,图书馆学
87020,文献学
87030,情报学
87040,档案学
87050,博物馆学
87099,图书馆、情报与文献学其他学科
880,教育学
88011,教育史
88014,教育学原理
88017,教学论
88021,德育原理
88024,教育社会学
,教育心理学
88031,教育经济学
,教育统计学
88034,教育管理学
88037,比较教育学
88041,教育技术学
88044,军事教育学
88047,学前教育学
88051,普通教育学
88054,高等教育学
88057,成人教育学
88061,职业技术教育学
88064,特殊教育学
88099,教育学其他学科
890,体育科学
89010,体育史
89015,体育理论
89020,运动生物力学
89025,运动生理学
89030,运动心理学
89035,运动生物化学
89040,体育保健学
89045,运动训练学
89050,体育教育学
89055,武术理论与方法
89060,体育管理学
89065,体育经济学
89099,体育科学其他学科
910,统计学
91010,统计学史
,数理统计学
,应用统计数学
91030,经济统计学
91035,科学技术统计学
91040,社会统计学
91045,人口统计学
91050,环境与生态统计学
91060,生物与医学统计学
91099,统计学其他学科
