Id,Code,Name
8560fc70-50e0-4404-9dec-d2339a765030,110,\u6570\u5b66
a46b82f4-43bf-49d6-9cd0-9473b7fe533e,11011,\u6570\u5b66\u53f2
7ca74802-5df1-42cb-967e-840e257998ab,11014,\u6570\u7406\u903b\u8f91\u4e0e\u6570\u5b66\u57fa\u7840
2ea823e7-a639-41a9-bc61-a367b8ba3881,11017,\u6570\u8bba
d026f906-d189-436a-8d40-b2007c7b1fdb,11021,\u4ee3\u6570\u5b66
92d80757-3bde-443a-b828-0042a12221f4,11024,\u4ee3\u6570\u51e0\u4f55\u5b66
5cd93e27-1de8-4228-a79d-bf4fa8ae44aa,11027,\u51e0\u4f55\u5b66
a3d4f3f9-335e-4c65-8c00-e632a878320d,11031,\u62d3\u6251\u5b66
3cc2d459-0d37-4797-80da-eca16d8ea662,11034,\u6570\u5b66\u5206\u6790
1ef7575d-2a0e-485e-a80e-ae7f9482fee4,11037,\u975e\u6807\u51c6\u5206\u6790
d75f98d0-a40c-4d84-95cd-5aca4039d433,11041,\u51fd\u6570\u8bba
3d22969e-05bc-451f-be81-833dbecb042b,11044,\u5e38\u5fae\u5206\u65b9\u7a0b
7abf9172-7903-467c-b460-f5a278e24e77,11047,\u504f\u5fae\u5206\u65b9\u7a0b
242d50e8-f847-4ca9-b5ae-05039caf9dc7,11051,\u52a8\u529b\u7cfb\u7edf
bd8619f3-2d05-4273-ae02-af8c75ea5dce,11054,\u79ef\u5206\u65b9\u7a0b
fdc31f6a-1893-4b8c-9c4e-d2164b71c778,11057,\u6cdb\u51fd\u5206\u6790
5b0dc45e-0ba5-48a8-b766-39333083a280,11061,\u8ba1\u7b97\u6570\u5b66
3cfb5474-89d1-4fdb-8869-f0cc8b242f61,11064,\u6982\u7387\u8bba
5ce634d0-49e2-4dcb-96ba-50f8ca43e1a1,11067,\u6570\u7406\u7edf\u8ba1\u5b66
2726d99f-f93f-4f97-b203-16ef54d973f6,11071,\u5e94\u7528\u7edf\u8ba1\u6570\u5b66
aa127a2d-dc65-4876-affb-d073ddfc7448,11074,\u8fd0\u7b79\u5b66
5c924c4e-3414-438f-a312-086343a56f6f,11077,\u7ec4\u5408\u6570\u5b66
e76b0162-62e1-467a-b95d-4de2546cd8fc,11081,\u79bb\u6563\u6570\u5b66
b9c2a2b6-fe56-40fc-94d6-6b385c7681d6,11084,\u6a21\u7cca\u6570\u5b66
